Campaign_ID,Campaign_Type,Duration,Channel used,Impressions,Clicks,Leads,Conversions,Revenue,Acquisition_Cost,ROI,Language,Engagement_Score,Customer_Segment,Date
NY-CMP-1022,Email,9,WhatsApp,74423,3139,1622,1149,629652,89.52,5.12,Bengali,7.94,Premium Shoppers,03-02-2025
NY-CMP-1023,SEO,9,Google,77708,4985,1363,916,632040,120.36,4.73,Bengali,9.35,Tier 2 City Customers,07-05-2025
NY-CMP-1024,SEO,21,YouTube,89970,10679,4140,3003,1537536,69.87,6.33,English,19.81,Working Women,10-03-2025
NY-CMP-1025,SEO,25,Google,96295,8911,2116,872,441232,148.17,2.41,Hindi,12.36,Tier 2 City Customers,17-11-2024
NY-CMP-1026,Influencer,29,Google,59234,4994,1531,892,226568,270.76,-0.06,Tamil,12.52,College Students,16-10-2024
NY-CMP-1027,Social Media,15,YouTube,74702,10110,5298,2481,1220652,49.62,8.91,Tamil,23.95,Premium Shoppers,10-02-2025
NY-CMP-1028,Paid Ads,15,Instagram,26353,3943,1879,746,458044,214.56,1.86,Tamil,24.92,College Students,30-03-2025
NY-CMP-1029,Email,26,WhatsApp,16978,1079,372,164,56908,1784.37,-0.81,English,9.51,Youth,24-07-2024
NY-CMP-1030,SEO,18,YouTube,92924,9525,4340,2242,652422,27.28,9.67,English,17.33,Youth,17-03-2025
NY-CMP-1031,SEO,7,Email,96549,13114,3791,1202,366610,74.34,3.1,Hindi,18.75,Premium Shoppers,04-06-2025
NY-CMP-1032,Social Media,17,Instagram,72628,6488,1923,1181,243286,231.17,-0.11,Tamil,13.21,Premium Shoppers,09-05-2025
NY-CMP-1033,Social Media,19,WhatsApp,61270,3309,1588,582,346872,320.86,0.86,English,8.94,Youth,31-12-2024
NY-CMP-1034,SEO,22,Email,29199,1719,704,274,101928,727.09,-0.49,Tamil,9.24,Working Women,05-07-2024
NY-CMP-1035,Paid Ads,11,Google,19637,478,236,173,108471,498.5,0.26,Tamil,4.52,Tier 2 City Customers,12-10-2024
NY-CMP-1036,Influencer,19,Facebook,23746,1503,747,458,101218,229.15,-0.04,Hindi,11.4,Tier 2 City Customers,07-12-2024
NY-CMP-1037,Paid Ads,6,Facebook,53926,7219,1902,1105,339235,221.64,0.39,Bengali,18.96,Youth,18-10-2024
NY-CMP-1038,Influencer,6,Email,35806,2631,999,365,198925,362.79,0.5,English,11.16,Youth,22-03-2025
NY-CMP-1039,Email,6,Facebook,31729,2418,773,403,207142,400.55,0.28,Bengali,11.33,Youth,21-10-2024
NY-CMP-1040,Influencer,29,Email,10338,864,412,299,127075,438.17,-0.03,English,15.24,Tier 2 City Customers,15-09-2024
NY-CMP-1041,Paid Ads,7,Instagram,96095,12738,6327,2845,631590,56.36,2.94,Bengali,22.8,College Students,23-03-2025
NY-CMP-1042,Influencer,7,WhatsApp,96219,11237,5367,3599,910547,68.47,2.69,Hindi,21,Working Women,31-08-2024
NY-CMP-1043,Influencer,30,YouTube,37002,2753,979,780,371280,123.02,2.87,Tamil,12.19,College Students,29-05-2025
NY-CMP-1044,SEO,29,Google,65776,4977,1606,901,370311,74.44,4.52,Bengali,11.38,Tier 2 City Customers,26-04-2025
NY-CMP-1045,Social Media,12,WhatsApp,57520,3932,2101,1431,1027458,128.93,4.57,English,12.98,Premium Shoppers,24-08-2024
NY-CMP-1046,Email,24,Facebook,52752,5831,3299,2095,509085,139.77,0.74,Bengali,21.28,Youth,05-08-2024
NY-CMP-1047,Social Media,5,YouTube,14944,1268,482,318,104304,319.84,0.03,Hindi,13.84,Working Women,02-04-2025
NY-CMP-1048,Email,22,Instagram,53290,3905,1034,535,344540,131.77,3.89,Tamil,10.27,Working Women,22-08-2024
NY-CMP-1049,SEO,14,Google,41687,2215,911,568,358408,277.67,1.27,English,8.86,Working Women,04-03-2025
NY-CMP-1050,Paid Ads,30,WhatsApp,67932,9449,5194,3230,839800,33.28,6.81,English,26.31,Working Women,04-11-2024
NY-CMP-1051,Email,16,Google,78991,6551,3460,2657,810385,49.89,5.11,Hindi,16.04,Premium Shoppers,16-04-2025
NY-CMP-1052,Social Media,12,Facebook,97822,5691,2022,1271,579576,210.15,1.17,Bengali,9.18,Premium Shoppers,15-11-2024
NY-CMP-1053,Email,14,YouTube,77985,6461,3033,1379,995638,180.5,3,English,13.94,Premium Shoppers,07-08-2024
NY-CMP-1054,Paid Ads,12,Google,82079,2124,1057,472,232224,620.82,-0.21,Tamil,4.45,College Students,13-06-2025
NY-CMP-1055,Paid Ads,16,Instagram,66781,8932,3662,1790,721370,150.42,1.68,Bengali,21.54,Premium Shoppers,18-03-2025
NY-CMP-1056,Influencer,11,Email,72001,8840,2425,1271,846486,54.74,11.17,English,17.41,Tier 2 City Customers,27-07-2024
NY-CMP-1057,Email,27,WhatsApp,43454,5590,1836,1046,343088,182.35,0.8,Hindi,19.5,Tier 2 City Customers,03-12-2024
NY-CMP-1058,Influencer,28,Instagram,24558,1700,671,326,235698,189.39,2.82,Tamil,10.98,Tier 2 City Customers,13-02-2025
NY-CMP-1059,Email,12,Instagram,51784,3169,1762,1042,803382,141.09,4.46,Bengali,11.53,Tier 2 City Customers,11-03-2025
NY-CMP-1060,SEO,12,YouTube,61841,6086,2165,1542,1201218,38.2,19.39,Bengali,15.84,College Students,10-01-2025
NY-CMP-1061,SEO,5,Email,80683,2154,985,786,248376,244.18,0.29,Bengali,4.86,Youth,30-04-2025
NY-CMP-1062,Email,20,Facebook,82701,4194,1345,869,323268,230.37,0.61,Bengali,7.75,Tier 2 City Customers,01-09-2024
NY-CMP-1063,SEO,8,WhatsApp,80457,9646,2336,1659,643692,125.03,2.1,Hindi,16.95,College Students,24-02-2025
NY-CMP-1064,SEO,13,YouTube,34565,819,304,211,137150,1099.71,-0.41,Hindi,3.86,Youth,28-05-2025
NY-CMP-1065,Email,25,YouTube,41740,1039,561,322,154882,328.9,0.46,Tamil,4.6,Tier 2 City Customers,29-04-2025
NY-CMP-1066,Social Media,29,Instagram,28052,1240,513,377,166634,221.3,1,Tamil,7.59,Tier 2 City Customers,17-08-2024
NY-CMP-1067,Social Media,6,WhatsApp,36769,2948,797,370,237170,576.24,0.11,Tamil,11.19,Premium Shoppers,06-02-2025
NY-CMP-1068,Email,26,WhatsApp,59910,3712,1431,951,427950,303.73,0.48,English,10.17,Working Women,25-03-2025
NY-CMP-1069,Social Media,20,Google,51907,1717,484,275,137225,316.3,0.58,English,4.77,Premium Shoppers,12-07-2024
NY-CMP-1070,Email,21,Email,54847,7764,3946,1326,502554,50.86,6.45,English,23.77,Tier 2 City Customers,26-03-2025
NY-CMP-1071,Social Media,11,Google,68542,8178,3828,1207,280024,179.89,0.29,Hindi,19.28,Tier 2 City Customers,23-12-2024
NY-CMP-1072,Influencer,17,Google,73165,5735,2225,1582,1170680,143.08,4.17,Tamil,13.04,College Students,27-12-2024
NY-CMP-1073,Email,17,Instagram,26416,1545,401,226,68478,395.28,-0.23,Hindi,8.22,College Students,15-09-2024
NY-CMP-1074,Email,11,WhatsApp,97611,7838,2476,1741,541451,164.53,0.89,Bengali,12.35,Working Women,29-08-2024
NY-CMP-1075,Email,29,YouTube,48871,6658,3972,2058,1636110,133.98,4.93,Bengali,25.96,Working Women,14-11-2024
NY-CMP-1076,Influencer,24,Google,74794,6057,1939,1470,799680,100.41,4.42,English,12.66,Youth,07-07-2024
NY-CMP-1077,Social Media,13,Instagram,37745,1091,361,114,45030,1000.73,-0.61,English,4.15,Working Women,23-02-2025
NY-CMP-1078,Email,26,Instagram,41410,905,449,156,75504,1252.69,-0.61,Bengali,3.65,Premium Shoppers,20-07-2024
NY-CMP-1079,Paid Ads,17,Instagram,30448,4531,1041,767,546871,315.83,1.26,Bengali,20.82,Premium Shoppers,28-08-2024
NY-CMP-1080,Email,6,Email,79031,7614,1912,1166,719422,87.2,6.08,Bengali,13.53,Youth,09-03-2025
NY-CMP-1081,Social Media,12,Email,69794,3864,1627,923,318435,271.48,0.27,Hindi,9.19,Working Women,15-01-2025
NY-CMP-1082,Social Media,11,Google,10613,1093,468,344,73272,693.71,-0.69,Hindi,17.95,Working Women,09-05-2025
NY-CMP-1083,SEO,9,WhatsApp,14824,1848,713,229,111294,542.97,-0.1,Hindi,18.82,Premium Shoppers,11-06-2025
NY-CMP-1084,Influencer,22,WhatsApp,38900,4362,1416,1056,291456,212.22,0.3,Tamil,17.57,College Students,06-11-2024
NY-CMP-1085,Paid Ads,10,Email,27040,1352,274,153,42075,460.92,-0.4,Hindi,6.58,Premium Shoppers,07-06-2025
NY-CMP-1086,Influencer,16,Facebook,45406,2768,1052,747,511695,321.69,1.13,Bengali,10.06,Youth,29-09-2024
NY-CMP-1087,Social Media,5,Instagram,48041,2478,1229,553,311892,511.7,0.1,English,8.87,College Students,20-06-2025
NY-CMP-1088,Social Media,30,Instagram,84207,6175,1941,1352,461032,214.63,0.59,Bengali,11.24,Working Women,29-10-2024
NY-CMP-1089,Social Media,16,Google,77548,1844,706,226,72772,1072.32,-0.7,Hindi,3.58,Tier 2 City Customers,27-08-2024
NY-CMP-1090,Email,13,Instagram,76619,7278,3935,1746,790938,152.82,1.96,Tamil,16.91,Tier 2 City Customers,05-11-2024
NY-CMP-1091,SEO,21,YouTube,37600,2906,1624,1006,690116,253.33,1.71,English,14.72,Premium Shoppers,10-04-2025
NY-CMP-1092,Social Media,7,WhatsApp,32302,1239,367,156,124800,1295.52,-0.38,Hindi,5.45,Tier 2 City Customers,12-04-2025
NY-CMP-1093,Email,9,Email,11042,459,189,96,60960,2660.53,-0.76,Hindi,6.74,Working Women,25-01-2025
NY-CMP-1094,Influencer,18,Google,12916,1058,269,84,23352,725.46,-0.62,Hindi,10.92,Working Women,05-08-2024
NY-CMP-1095,Paid Ads,29,Google,73403,7231,1683,766,311762,337.92,0.2,English,13.19,Youth,11-08-2024
NY-CMP-1096,Paid Ads,18,Instagram,71114,1814,870,350,232750,827.25,-0.2,Tamil,4.27,Youth,10-09-2024
NY-CMP-1097,Email,21,Email,96478,3700,1111,711,366876,282.59,0.83,Hindi,5.72,Working Women,23-11-2024
NY-CMP-1098,SEO,21,Email,96239,3852,2172,1568,460992,110.5,1.66,English,7.89,Working Women,19-11-2024
NY-CMP-1099,Paid Ads,22,Instagram,15712,2049,698,518,161616,185.06,0.69,English,20.78,Premium Shoppers,24-03-2025
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
